dataset,apk,scan_id,runtime_seconds,cpu_percent,ram_mb,report_success,sarif_success
DroidBench,Merge1.apk,848f5d46-74dd-4dcc-b96b-2c911287e4ed,10.175,136.89,169.33,false,false
DroidBench,ApplicationModeling1.apk,a4a9aa00-2bf1-4aef-bc60-1d74d5220515,10.163,32.52,119.60,false,false
DroidBench,DirectLeak1.apk,fe499370-4333-4749-bad6-31cce2fb1fb6,10.175,57.31,120.52,false,false
DroidBench,InactiveActivity.apk,6789278e-7b0a-4bf3-941c-03175f9e28d7,11.083,0.96,120.49,false,false
DroidBench,Library2.apk,2de1056e-aa4b-4173-8726-e96214f3ab93,11.126,1.38,121.75,false,false
DroidBench,LogNoLeak.apk,a62d8da4-8894-40a7-bd9f-b16a2e9bbdb4,10.147,57.72,122.81,false,false
DroidBench,Obfuscation1.apk,ad4fc046-23de-424f-ab8d-352e4f6ef9e8,10.155,67.36,124.06,false,false
DroidBench,Parcel1.apk,abfb99a0-dd2a-48dd-8aed-a6ae3ce316a9,10.186,14.09,124.54,false,false
DroidBench,PrivateDataLeak1.apk,4e20758c-9404-487a-923f-398ae444296c,10.161,43.75,125.30,false,false
DroidBench,PrivateDataLeak2.apk,02d6211d-8da2-4c46-88ce-4770d15a0b2a,10.173,47.90,125.96,false,false
DroidBench,PrivateDataLeak3.apk,216d396b-fbc6-4a65-a4ea-a4c7e0e64664,10.152,52.89,127.83,false,false
DroidBench,PublicAPIField1.apk,0809b7a2-b539-4ef8-8951-77f82db055b5,10.188,8.50,127.49,false,false
DroidBench,PublicAPIField2.apk,b39dd908-c9f7-46c1-8aae-6de57c1df6ff,10.198,10.11,127.68,false,false
DroidBench,ArrayAccess1.apk,9fe04a83-202d-4a82-9c88-a31049bb5634,10.132,50.32,128.68,false,false
DroidBench,ArrayAccess2.apk,18973c58-209b-4493-a476-0ce7237ed450,10.152,43.24,129.79,false,false
DroidBench,ArrayCopy1.apk,de44bb05-1abf-4207-9b89-c56441da6919,10.146,17.44,129.96,false,false
DroidBench,ArrayToString1.apk,61017d5e-c423-45ad-85f9-bbb9bb00983f,10.152,18.00,129.91,false,false
DroidBench,HashMapAccess1.apk,ef641dd9-1c0a-4713-b8b3-1c4bbb0ec23f,10.133,56.17,131.36,false,false
DroidBench,ListAccess1.apk,b121cd54-6cc3-4dd9-9662-1ea1b9a6a6be,10.179,50.97,132.16,false,false
DroidBench,MultidimensionalArray1.apk,acc561c0-cf8e-4bd3-bf94-b0c744750f4b,10.161,16.97,132.32,false,false
DroidBench,AnonymousClass1.apk,b7fd8507-5ffb-4076-8106-968bcb1a9459,10.175,36.32,133.05,false,false
DroidBench,Button1.apk,012d951d-976f-4414-8454-0479a14bd104,10.150,37.27,133.91,false,false
DroidBench,Button2.apk,ae12b82e-dee5-4ae7-8536-c4cfbeb15dbd,10.157,38.78,135.09,false,false
