dataset,apk,scan_id,runtime_seconds,cpu_percent,ram_mb,report_success,sarif_success
DroidBench,Merge1.apk,98f909c5-42e7-4cfc-a2f5-335cdafe1f60,10.143,73.16,145.68,false,false
DroidBench,ApplicationModeling1.apk,499ca4c9-3903-4900-87f7-78775fe686cc,0.885,0.79,153.90,false,false
DroidBench,DirectLeak1.apk,f6d679c7-2034-4a3b-9728-1938fa4f8b60,10.147,4.13,155.35,false,false
DroidBench,InactiveActivity.apk,621b864c-7ee6-4994-b516-c936444e5b83,10.123,2.52,155.99,false,false
DroidBench,Library2.apk,22a7a8ef-737c-4fd9-aa07-326e28eb0bcf,10.137,6.26,157.37,false,false
DroidBench,LogNoLeak.apk,ec4f65c3-93ad-4a7d-a42d-e031b3df7e56,10.142,5.52,157.94,false,false
DroidBench,Obfuscation1.apk,7419dbf9-de60-4f70-b676-31ddac4beb9e,10.139,6.72,158.76,false,false
DroidBench,Parcel1.apk,d8660927-00a4-414e-a7f9-1d957dc81a54,0.893,0.59,158.98,false,false
DroidBench,PrivateDataLeak1.apk,1aec8ec9-5a55-44d5-8b08-eebe2f47d75a,10.128,3.31,159.97,false,false
DroidBench,PrivateDataLeak2.apk,5d899acc-87d4-4996-a603-56c332669499,10.118,2.61,160.72,false,false
DroidBench,PrivateDataLeak3.apk,6cc84037-1ebb-4501-a979-64a7e7c24a2f,10.142,6.14,161.67,false,false
DroidBench,PublicAPIField1.apk,a4d3cf4a-220e-493c-9c3c-d31fac70836a,0.919,1.04,161.64,false,false
DroidBench,PublicAPIField2.apk,ffe9bf38-42d1-4443-921d-868704aa8bef,0.940,0.57,161.73,false,false
DroidBench,ArrayAccess1.apk,b720ded7-1f7b-4f3a-b483-40d5821dff3d,10.133,3.37,162.36,false,false
DroidBench,ArrayAccess2.apk,35c284de-032e-4ec9-b97d-3c039c87209b,10.131,3.19,163.57,false,false
DroidBench,ArrayCopy1.apk,22b573ff-8143-4652-87d2-eb641c7c0769,0.926,1.18,163.53,false,false
DroidBench,ArrayToString1.apk,3921b27b-defa-40c0-91e8-b5c500841f8b,0.900,0.83,163.62,false,false
DroidBench,HashMapAccess1.apk,36a22d13-fc66-4f77-ad99-abfd4439d9e0,10.142,4.98,164.89,false,false
DroidBench,ListAccess1.apk,c96264c8-2338-4b9f-8a86-b920607663e5,10.142,0.75,165.77,false,false
DroidBench,MultidimensionalArray1.apk,8238383c-e554-448a-b3be-daeb45bdb0da,0.808,0.93,165.87,false,false
DroidBench,AnonymousClass1.apk,14f0b725-da34-431d-9c9e-d5587f7f22a9,10.132,0.80,166.97,false,false
DroidBench,Button1.apk,801dcbe4-fbda-497d-a1f0-c795530843ee,10.131,0.82,167.96,false,false
DroidBench,Button2.apk,e70686bb-5b3c-470a-913d-4554313e1699,10.164,1.54,168.66,false,false
DroidBench,Button3.apk,473165e9-1684-440c-ba7e-220f30450999,10.122,4.44,169.60,false,false
DroidBench,Button4.apk,32270cc6-9fda-4a8f-a7b7-7819688c162d,10.121,2.50,170.78,false,false
DroidBench,Button5.apk,417493a8-7929-4306-ad09-aa6d0e699c7a,10.145,2.99,171.74,false,false
DroidBench,LocationLeak1.apk,d14655a2-26f3-4e98-ba05-0b673b1f141f,10.121,2.66,171.85,false,false
DroidBench,LocationLeak2.apk,39a37410-1586-49e7-be21-2028c2082949,10.129,3.11,172.80,false,false
DroidBench,LocationLeak3.apk,01140024-fb54-4214-9e8d-18c04bc6b746,10.147,6.87,173.68,false,false
DroidBench,MethodOverride1.apk,6a316922-99ec-4b7a-9164-4934ac9a5471,10.137,3.23,174.89,false,false
DroidBench,MultiHandlers1.apk,ce4c5f5d-3b87-48a4-b840-db5524f2c5bb,11.096,1.10,175.69,false,false
DroidBench,Ordering1.apk,7c9c8df6-bce2-42fb-bb2a-f828213445ed,11.100,0.68,176.97,false,false
DroidBench,RegisterGlobal1.apk,d570c8da-0289-4d2a-a7eb-6734223db843,11.118,0.88,177.12,false,false
DroidBench,RegisterGlobal2.apk,effabf56-59ac-4d26-bac4-78f93d181256,10.142,18.87,177.70,false,false
DroidBench,Unregister1.apk,712aeda9-aa97-4914-ba4c-265ea82ed0f0,10.133,6.52,179.39,false,false
DroidBench,ContentProvider1.apk,d36ad6ef-7322-403c-84b5-a88c1aa50b26,10.131,52.37,182.43,false,false
DroidBench,IMEI1.apk,fa234194-a865-4645-8487-546577ce4c37,10.125,57.47,185.05,false,false
DroidBench,PlayStore1.apk,b2ee683e-2aaa-49e0-b86b-f726321fcae0,10.139,49.69,187.43,false,false
DroidBench,FieldSensitivity1.apk,887b2396-814b-479d-8ea8-9fc927e9aa9f,10.140,3.82,188.57,false,false
DroidBench,FieldSensitivity2.apk,1f19b5a7-79ae-414c-98fd-41439e9eed33,10.136,1.38,189.37,false,false
DroidBench,FieldSensitivity3.apk,90985ce6-8e43-4819-8818-75a3dafb59b3,10.140,2.61,190.13,false,false
DroidBench,FieldSensitivity4.apk,0f4bcf93-cc12-48b2-8bb2-7353a5d151ee,10.139,1.56,191.03,false,false
DroidBench,InheritedObjects1.apk,b246e4c4-8ac8-4be7-bec4-cfd596ba7015,10.151,2.10,191.94,false,false
DroidBench,ObjectSensitivity1.apk,56102cad-9aeb-4ff3-82e8-9c8ba14bbd13,10.139,1.02,191.98,false,false
DroidBench,ObjectSensitivity2.apk,e0ec0a31-94ed-44e0-8b21-b20f7aefec00,10.137,0.87,192.87,false,false
DroidBench,Clone1.apk,ae29c825-e7e2-4646-a774-e8730796e508,0.837,0.84,192.81,false,false
DroidBench,Exceptions1.apk,adc32ab1-52d0-44dd-aded-ebf5c0150715,10.159,2.23,193.90,false,false
DroidBench,Exceptions2.apk,7f450015-34a8-4262-a9d7-b8fcf224a34e,10.180,3.24,194.98,false,false
DroidBench,Exceptions3.apk,bf09b271-1b52-42e2-9626-545c523e3977,10.151,3.30,195.83,false,false
DroidBench,Exceptions4.apk,b337ee1a-5c67-47ac-9acb-db418df2f2e5,10.136,9.28,196.30,false,false
DroidBench,FactoryMethods1.apk,7bd16c54-15dc-4f16-80b5-810cf340e1f4,10.137,5.61,197.52,false,false
