dataset,apk,scan_id,runtime_seconds,export_time_seconds,cpu_percent,ram_mb,apk_size_bytes,export_bytes_total,concurrency,throughput_apks_per_minute,report_success,pdf_success,json_success,sarif_success
DroidBench,Merge1.apk,288fbbf4-c20e-4e16-ba5d-76b13f252944,20.291,2.328,50.67,144.09,801366,77515,1,2.5867146336416167,true,true,true,true
DroidBench,ApplicationModeling1.apk,121260db-3a16-45e8-905e-c7e492fe7b36,10.179,2.26,68.32,126.38,36869,77100,1,2.5867146336416167,true,true,true,true
DroidBench,DirectLeak1.apk,f2d42d2b-57ab-48dd-ab9f-6739e5bb77a4,10.469,2.251,90.21,166.79,178577,77209,1,2.5867146336416167,true,true,true,true
DroidBench,InactiveActivity.apk,98906df2-9685-4d1f-8eb7-275f03073c44,10.167,2.265,100.36,162.18,178495,76921,1,2.5867146336416167,true,true,true,true
DroidBench,Library2.apk,b576b25b-9123-41b8-a99a-b80b37c32ec7,10.226,2.267,105.81,165.39,196636,77236,1,2.5867146336416167,true,true,true,true
DroidBench,LogNoLeak.apk,22f298ec-3818-4de4-8f30-4e13cce1ba15,10.193,2.297,115.00,168.76,178420,77417,1,2.5867146336416167,true,true,true,true
DroidBench,Obfuscation1.apk,28bbd8b0-4103-4aef-823a-8b6aee0ae5eb,11.039,2.301,79.81,129.72,196558,77140,1,2.5867146336416167,true,true,true,true
DroidBench,Parcel1.apk,04d54320-ad7e-458c-ba67-4ba194ecf427,10.220,2.248,68.71,129.08,37641,77137,1,2.5867146336416167,true,true,true,true
DroidBench,PrivateDataLeak1.apk,fd5f4168-4177-4b95-824c-073cd4d0c8b4,10.193,2.255,103.14,171.05,180488,77103,1,2.5867146336416167,true,true,true,true
DroidBench,PrivateDataLeak2.apk,97e60ff7-4965-4226-aae1-14ad7cf600e7,10.217,2.3,98.41,169.86,178759,76921,1,2.5867146336416167,true,true,true,true
DroidBench,PrivateDataLeak3.apk,9c1efeb1-8a93-4f67-b3e9-2d9b86f7d6a2,10.955,2.243,101.05,132.83,196732,77105,1,2.5867146336416167,true,true,true,true
DroidBench,PublicAPIField1.apk,0f227ad0-f4de-4725-b0c3-676079267f65,10.208,2.278,65.99,132.48,36880,76924,1,2.5867146336416167,true,true,true,true
DroidBench,PublicAPIField2.apk,99cf83a7-bf09-4023-a7f8-7d5ed85bb536,10.194,2.255,64.46,132.57,36628,77418,1,2.5867146336416167,true,true,true,true
DroidBench,ArrayAccess1.apk,46b56817-fc68-4729-8481-9f8f64823ffd,10.531,2.251,113.72,174.24,178711,77208,1,2.5867146336416167,true,true,true,true
DroidBench,ArrayAccess2.apk,60129849-be64-4815-a10c-6f00a1817e71,10.181,2.239,98.81,173.72,178726,77417,1,2.5867146336416167,true,true,true,true
