dataset,apk,scan_id,expected,detected,detected_findings,category,status,note
DroidBench,ApplicationModeling1.apk,021a9a2b-68a8-4fa7-920b-5850b41b57be,true,true,4,,completed,
DroidBench,DirectLeak1.apk,52420211-9306-4c8f-aa37-7a1a2816f88a,true,true,4,,completed,
DroidBench,Merge1.apk,f6387170-18eb-4e9f-810e-1b64abf0c22d,true,true,4,,completed,
DroidBench,InactiveActivity.apk,108764bb-7f26-4f4b-b17c-f54bce3911ec,true,true,4,,completed,
DroidBench,LogNoLeak.apk,0a1aeefb-473a-4890-8549-2c2714d93530,true,true,4,,completed,
DroidBench,Library2.apk,ce16aa25-7053-4225-bfc5-0e5c5f6ac353,true,true,4,,completed,
DroidBench,Parcel1.apk,d154b740-0933-4a0b-9443-01600185b0ca,true,true,4,,completed,
DroidBench,Obfuscation1.apk,044735b5-9356-4be2-aad0-72b12af77a7c,true,true,4,,completed,
DroidBench,PublicAPIField1.apk,c015c087-9e49-4654-b721-7ca6c3887e44,true,true,4,,completed,
DroidBench,PrivateDataLeak2.apk,9241f8b7-f262-4a8c-9e15-2a98470aa8ec,true,true,4,,completed,
DroidBench,PrivateDataLeak1.apk,ce5e6b13-7964-49fa-b92b-73a2a5317e0a,true,true,4,,completed,
DroidBench,PrivateDataLeak3.apk,47cef276-3bef-4e06-ba6a-61b8a6f45092,true,true,4,,completed,
DroidBench,PublicAPIField2.apk,a3d4b585-12a3-49f8-92c7-46a70398ef90,true,true,4,,completed,
DroidBench,ArrayCopy1.apk,1ae3a8ae-08a6-4b14-b031-64bfac943ec7,true,true,4,,completed,
DroidBench,ArrayAccess2.apk,fff90d40-080c-49fc-a329-9b3023f1541a,true,true,4,,completed,
DroidBench,ArrayAccess1.apk,85712dd7-0088-4c6d-89a9-f35715e47162,true,true,4,,completed,
DroidBench,MultidimensionalArray1.apk,9a36b837-0b84-4bfa-8b86-c1d204a4581c,true,true,4,,completed,
DroidBench,ArrayToString1.apk,7fac327e-249b-435a-8500-8b6ca93a1620,true,true,3,,completed,
DroidBench,HashMapAccess1.apk,7fbc7cdf-8467-475b-915b-58922f1ce138,true,true,4,,completed,
DroidBench,ListAccess1.apk,09adc5c2-2cc0-4a63-a5dd-72eaf1503cde,true,true,4,,completed,
DroidBench,AnonymousClass1.apk,2141d7d5-f671-4aa2-bcb0-a2b9be6f114b,true,true,4,,completed,
DroidBench,Button1.apk,f61a84b2-8257-4234-a84d-cdebd4344396,true,true,4,,completed,
DroidBench,Button3.apk,4589cd4a-47f2-4664-a260-c4cea966a123,true,true,4,,completed,
DroidBench,Button2.apk,15e2bde0-870e-4b83-af35-db8a6907c86f,true,true,4,,completed,
DroidBench,Button5.apk,40353024-c382-4f37-8dbe-3b1f885a03d4,true,true,4,,completed,
DroidBench,Button4.apk,3c0bf582-7dc9-44d3-b83f-09564b07696d,true,true,4,,completed,
DroidBench,LocationLeak2.apk,f543561d-97c6-41fc-9d0c-a8d0f0184a5c,true,true,4,,completed,
DroidBench,LocationLeak1.apk,2e21f801-020b-4596-893c-d8f7aa42c474,true,true,4,,completed,
DroidBench,MethodOverride1.apk,0f21400f-4ffe-4c12-98d0-d43dabc013e6,true,true,4,,completed,
DroidBench,LocationLeak3.apk,a1ffc35c-0d62-4eb5-9525-01e0bf6d86f1,true,true,4,,completed,
DroidBench,MultiHandlers1.apk,b6398a88-5195-4cd8-90ae-2d3dd9e7dbe0,true,true,3,,completed,
DroidBench,Ordering1.apk,35f8d98f-78c1-443a-a61e-270f8762711f,true,true,4,,completed,
DroidBench,RegisterGlobal2.apk,31b7c975-4b2f-44ed-9272-bf7c665524fc,true,true,4,,completed,
DroidBench,RegisterGlobal1.apk,5144a85d-e67a-4780-95d9-9b484f774b63,true,true,4,,completed,
DroidBench,Unregister1.apk,26fc8c55-c96b-446e-8de9-75a13aca233d,true,true,4,,completed,
